X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
276.0,276.0,train,8.659664962239081E-4,33.29848482433482,0.6250143537962565
277.0,277.0,train,0.00140592960525207,74.58238240664599,0.7965786454429012
278.0,278.0,train,0.0010413706133667827,45.56433834218115,0.6925814785069357
279.0,279.0,train,0.0010638991528325685,47.5945576495935,0.7003268635095643
280.0,280.0,train,0.0010339828644343608,44.760738926055694,0.6899982086278762
281.0,281.0,train,0.0016009238114260086,85.89879436917374,0.8368920269383834
282.0,282.0,train,5.837080786768726E-4,18.791034940893404,0.48374660937310154
283.0,283.0,train,0.0016281008151251514,88.0319340603037,0.8418364854612059
284.0,284.0,train,0.0015785863821993194,83.54954709444202,0.8327125365038629
285.0,285.0,train,0.0010075932209702516,42.56759311333796,0.6805920143159344
286.0,286.0,train,9.574070551726391E-4,39.080175736083916,0.6619092432787026
287.0,287.0,train,7.866007415722426E-4,28.810015306554966,0.5897428439433008
288.0,288.0,train,9.802079793892547E-4,41.011793741757764,0.6705290788847622
289.0,289.0,train,0.0010179180152745469,43.52680930861378,0.6843056512341004
290.0,290.0,train,0.0011046670793035944,52.26637655975863,0.7138502989438964
291.0,291.0,train,0.0010374947050186339,45.071483797227884,0.6912288876034607
292.0,292.0,train,0.0015519998100677005,80.66407055520997,0.8275981842013208
293.0,293.0,train,0.0015731250203287065,82.76090731078523,0.8316744881477288
294.0,294.0,train,0.001539254038269568,79.79883124592553,0.8250911748263441
295.0,295.0,train,0.0011115298948479362,52.98328194632963,0.7160660349255363
296.0,296.0,train,4.351528827782256E-4,11.732448204482933,0.3891423212330556
297.0,297.0,train,4.6901412338557364E-4,13.791388443039134,0.412127627638758
298.0,298.0,train,0.0010115887070031718,42.83844454426282,0.6820342701300552
299.0,299.0,train,4.695952013265015E-4,13.829780047303595,0.4125144252598415
300.0,300.0,train,9.600259670780126E-4,39.27209116345712,0.6629106706767403
301.0,301.0,train,3.785016633506287E-4,9.126259099618443,0.34865985330176597
302.0,302.0,train,3.439529849108023E-4,7.982259978694443,0.3226658097766655
303.0,303.0,train,7.263983733279217E-4,25.54327546008066,0.560791382366951
304.0,304.0,train,0.0011176549380595153,54.31167032728805,0.7180290793656101
305.0,305.0,train,0.0011203851967663005,54.60362434510647,0.7188997342319121
